Ref_number;Publication_years;Authors;References;;;;;;;;;;;;;;;;;;;;;;
Ref_01;1988;Fernandes et al;Fernandes, G. W. A., E. Tameirão-Neto, and R. P. Martins. 1988. Ocorrência e caracterização de galhas entomógenas na vegetação do campus pampulha da Universidade Federal de Minas Gerais. Revista Brasileira de Zoologia 5: 11-29.;;;;;;;;;;;;;;;;;;;;;;
Ref_02;1996;Fernandes et al;Fernandes, G. W., M. A. A. Carneiro, A. C. F. Lara, L. R. Allain, G. I. Andrade, G. R. Julião, T. R. Reis, and I. M. Silva. 1996. Galling insects on neotropical species of Baccharis (Asteraceae). Tropical Zoology 9: 315-332.;;;;;;;;;;;;;;;;;;;;;;
Ref_03;1997;Fernandes et al;Fernandes, G. W., R. C. Araújo, S. C. Araújo, J. A. Lombardi, A. S. Paula, R. Loyola-Júnior, and T. G. Cornelissen. 1997. Insect-galls from savanna and rocky fields of the Jequitinhonha valley, Minas Gerais, Brazil. Naturalia 22: 221-244.;;;;;;;;;;;;;;;;;;;;;;
Ref_04;2001;Golçalves-Alvim & Fernandes;Gonçalves-Alvim, S. J., and G. W. Fernandes. 2001. Comunidades de insetos galhadores (Insecta) em diferentes fisionomias do cerrado em Minas Gerais, Brasil. Revista Brasileira de Zoologia 18: 289-305.;;;;;;;;;;;;;;;;;;;;;;
Ref_05;2003;Urso-Guimarães et al;Urso-Guimarães, M. V., C. Scareli-Santos, and A. C. Bonifácio-Silva. 2003. Occurrence and characterization of entomogen galls in plants from natural vegetation areas in Delfinópolis, MG, Brazil. Brazilian Journal of Biology 63: 705-715.;;;;;;;;;;;;;;;;;;;;;;
Ref_06;2004;Maia & Fernandes ;Maia, V. C., and G. W. Fernandes. 2004. Insect galls from Serra de São José (Tiradentes, MG, Brazil). Brazilian Journal of Biology 64: 423-445.;;;;;;;;;;;;;;;;;;;;;;
Ref_07;2006;Urso-Guimarães & Scareli-Santos;Urso-Guimarães, M. V., and C. Scareli-Santos. 2006. Galls and gall makers in plants from the Pé-de-Gigante Cerrado Reserve, Santa Rita do Passa Quatro, SP, Brazil. Brazilian Journal of Biology, 66: 357-369.;;;;;;;;;;;;;;;;;;;;;;
Ref_08;2007;Araújo et al (a);Araújo, W. S., V. L. Gomes-Klein, and B. B. Santos. 2007. Galhas entomógenas associadas à vegetação do Parque Estadual da Serra dos Pireneus, Pirenópolis, Goiás, Brasil. Revista Brasileira de Biociências 5: 45-47.;;;;;;;;;;;;;;;;;;;;;;
Ref_09;2007;Araújo et al (b);Araújo, W. S., B. B. Santos, B. B., H. D. Ferreira, and D. C. Lousa. 2007. Ocorrência de galhas entomógenas na vegetação do campus da UFG em Goiânia, Goiás. Revista Brasileira de Biociências 5: 57-59.;;;;;;;;;;;;;;;;;;;;;;
Ref_10;2009;Carneiro et al;Carneiro, M. A. A., R. A. X. Borges, A. P. A. Araújo, and G. W. Fernandes. 2009. Insetos indutores de galhas da porção sul da Cadeia do Espinhaço, Minas Gerais, Brasil. Revista Brasileira de Entomologia 53: 570-592.;;;;;;;;;;;;;;;;;;;;;;
Ref_11;2009;Coelho et al;Coelho, M. S., E. D. Almada, G. W. Fernandes, M. A. A. Carneiro, R. M. Santos, A. V. Quintino, and A. Sanchez-Azofeifa. 2009. Gall inducing arthropods from a seasonally dry tropical forest in Serra do Cipó, Brazil. Revista Brasileira de Entomologia, 53: 404-414.;;;;;;;;;;;;;;;;;;;;;;
Ref_12;2011;Araújo et al;Araújo, W. S., B. B. Santos, and V. L. Gomes-Klein. 2011. Insect galls from Serra dos Pireneus, GO, Brazil. Biota Neotropica 11: 357-365.;;;;;;;;;;;;;;;;;;;;;;
Ref_13;2012;Luz et al;Luz, G. R., G. W. Fernandes, J. O. Silva, F. S. Neves, and M. Fagundes. 2012. Insect galls in xeric and mesic habitats in a Cerrado-Caatinga transition in northern Minas Gerais, Brazil. Neotropical Biology and Conservation 7: 171-187.;;;;;;;;;;;;;;;;;;;;;;
Ref_14;2012;Malves & Frieiro-Costa;Malves, K., and A. Frieiro-Costa. 2012. List of plants with galls induced by insects from the UNILAVRAS/Boqueirão Biological Reserve, Ingaí, state of Minas Gerais, Brazil. Check List 8: 426-431.;;;;;;;;;;;;;;;;;;;;;;
Ref_15;2012;Saito & Urso-Guimarães;Saito, V. S., and M. V. Urso-Guimarães. 2012. Characterization of galls, insect galls and associated fauna of Ecological Station of Jataí (Luiz Antônio, SP). Biota Neotropica 12: 99-107.;;;;;;;;;;;;;;;;;;;;;;
Ref_16;2012;Santos et al;Santos, B. B., B. A. Ribeiro, T. M. Silva, and W. S. Araújo. 2012. Galhas de insetos em uma área de cerrado sentido restrito na região semi-urbana de Caldas Novas (Goiás, Brasil). Revista Brasileira de Biociências 10: 439-445.;;;;;;;;;;;;;;;;;;;;;;
Ref_17;2013;Coelho et al (a);Coelho, M. S., M. A. A. Carneiro, C. A. Branco, and G. W. Fernandes. 2013a. Gall-inducing insects from Serra do Cabral, Minas Gerais, Brazil. Biota Neotropica 13: 102-109.;;;;;;;;;;;;;;;;;;;;;;
Ref_18;2013;Coelho et al (b);Coelho, M. S., M. A. A. Carneiro, C. Branco, R. A. X. Borges, and G. W. Fernandes. 2013b. Gall-inducing insects from Campos de Altitude, Brazil. Biota Neotropica 13: 139-151.;;;;;;;;;;;;;;;;;;;;;;
Ref_19;2014;Araújo et al;Araújo, W. S., F. L. Sobral, and L. Maracahipes. 2014. Insect galls of the Parque Nacional das Emas (Mineiros, GO, Brazil). Check List 10: 1445-1451.;;;;;;;;;;;;;;;;;;;;;;
Ref_20;2014;Costa et al (a);Costa, E. C., S. P. Carvalho-Fernandes, and J. Santos-Silva. 2014a. Galhas entomógenas associadas à Leguminosae do entorno do riacho Jatobá, Caetité, Bahia. Brazilian Journal of Biosciences 12: 115-120.;;;;;;;;;;;;;;;;;;;;;;
Ref_21;2014;Costa et al (b);Costa, E. C., S. P. Carvalho-Fernandes, and J. Santos-Silva. 2014b. Galhas de insetos em uma área de transição caatinga-cerrado no Nordeste do Brasil. Sitientibus série Ciências Biológicas 14: 1-9.;;;;;;;;;;;;;;;;;;;;;;
Ref_22;2014;Maia et al;Maia, V. C., A. R. Rodrigues, S. H. S. Ascendino, and M. Boggi. 2014. The insect gall collection of the Museu Nacional/Universidade Federal do Rio de Janeiro: biome cerrado, rupestrian fields. Brazilian Journal of Biology, 74: S207-S217.;;;;;;;;;;;;;;;;;;;;;;
Ref_23;2015;Araújo et al;Araújo, W. S., E. D. Porfírio-Júnior, B. A. Ribeiro, T. M. Silva, E. C. Silva, F. A. Guilherme, C. Scareli-Santos, and B. B. Santos. 2015. Checklist of host plants of insect galls in the state of Goiás in the Midwest Region of Brazil. Biodiversity Data Journal 13: e6835.;;;;;;;;;;;;;;;;;;;;;;
Ref_24;2015;Silva et al;Silva, T. M., Araújo, W. S., and B. B. Santos. 2015. Ocorrência e caracterização de galhas de insetos em um fragmento de mata semicaducifólia do Câmpus Samambaia, Goiânia, GO, Brasil. Revista de Biologia Neotropical 12: 26-38.;;;;;;;;;;;;;;;;;;;;;;
Ref_25;2016;Nogueira et al;Nogueira, R. M., E. C. Costa, S. P. Carvalho-Fernandes, and J. Santos-Silva. 2016. Insect galls from Serra Geral, Caetité, BA, Brazil. Biota Neotropica 16: e20150035.;;;;;;;;;;;;;;;;;;;;;;
Ref_26;2017;Bergamini et al;Bergamini, B. A. R., L. L. Bergamin, B. B. Santos, and W. S. Araújo. 2017. Occurrence and characterization of insect galls in the Floresta Nacional de Silvânia, Brazil. Papéis Avulsos de Zoologia 57: 413-431.;;;;;;;;;;;;;;;;;;;;;;
Ref_27;2017;Urso-Guimarães et al;Urso-Guimarães, M.V., C. Scareli-Santos, and A. C. Bonifácio-Silva. 2003. Occurrence and characterization of entomogen galls in plants from natural vegetation areas in Delfinópolis, MG, Brazil. Brazilian Journal of Biology 63: 705-715.;;;;;;;;;;;;;;;;;;;;;;
Ref_28;2018;Lima & Calado;Lima, V. P., and D. Calado. 2018. Morphological characterization of insect galls and new records of associated invertebrates in a Cerrado area in Bahia State, Brazil. Brazilian Journal of Biology 78: 636-643.;;;;;;;;;;;;;;;;;;;;;;
Ref_29;2018;Santos et al;Santos, I. M., V. P. Lima, E. K. S. Soares, M. Paula, and D. C. Calado. 2018. Insect galls in three species of Copaifera L. (Leguminosae, Caesalpinioideae) occurring sympatrically in a Cerrado area (Bahia, Brazil). Biota Neotropica 18: e20170356.;;;;;;;;;;;;;;;;;;;;;;
Ref_30;2018;Silva et al (a);Silva, E. C., B. B. Santos, and W. S. Araújo. 2018a. Insect gall occurrence in savanna and forest remnant sites of Hidrolândia, GO, Brazil Central. Papéis Avulsos de Zoologia 58: e20185804.;;;;;;;;;;;;;;;;;;;;;;
Ref_31;2018;Silva et al (b);Silva, A. R. F., R. M. Nogueira, E. C. Costa, S. P. Carvalho-Fernandes, and J. Santos-Silva. 2018b. Occurrence and characterization of entomogenic galls in an area of Cerrado sensu stricto and Gallery forest of the state of Bahia, Brazil. Anais da Academia Brasileira de Ciências 90: 2903-2919.;;;;;;;;;;;;;;;;;;;;;;
Ref_32;2018;Vieira et al;Vieira, L. G., R. M. Nogueira, E. C. Costa, S. P. Carvalho-Fernandes, and J. S. Silva. 2018. Insect galls in Rupestrian field and Cerrado stricto sensu vegetation in Caetité, Bahia, Brazil. Biota Neotropica 18: e20170402.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
